Stego Strategy,Original Image,Stego Image,Original Image Dimensions,Stego Image Dimensions,Wavelet,Embedding Scale,MSE,PSNR
Lower Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",haar,0.02,13.317413330078125,36.88660481796723
Higher Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",haar,0.02,0.5979665120442709,50.36403498019332
Multilevel Higher Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",haar,0.02,0.5979665120442709,50.36403498019332
Lower Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",haar,0.05,94.78099950154622,28.363590766805416
Higher Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",haar,0.05,1.3738911946614583,46.75128020742052
Multilevel Higher Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",haar,0.05,1.3738911946614583,46.75128020742052
Lower Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",haar,0.1,395.6476084391276,22.157718159650774
Higher Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",haar,0.1,4.33181635538737,41.76410324164044
Multilevel Higher Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",haar,0.1,4.33181635538737,41.76410324164044
Lower Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",haar,0.2,1616.7117970784504,16.04447753511967
Higher Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",haar,0.2,16.27404276529948,36.015849079579056
Multilevel Higher Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",haar,0.2,16.27404276529948,36.015849079579056
Lower Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db1,0.02,13.317413330078125,36.88660481796723
Higher Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db1,0.02,0.5979665120442709,50.36403498019332
Multilevel Higher Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db1,0.02,0.5979665120442709,50.36403498019332
Lower Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db1,0.05,94.78099950154622,28.363590766805416
Higher Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db1,0.05,1.3738911946614583,46.75128020742052
Multilevel Higher Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db1,0.05,1.3738911946614583,46.75128020742052
Lower Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db1,0.1,395.6476084391276,22.157718159650774
Higher Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db1,0.1,4.33181635538737,41.76410324164044
Multilevel Higher Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db1,0.1,4.33181635538737,41.76410324164044
Lower Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db1,0.2,1616.7117970784504,16.04447753511967
Higher Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db1,0.2,16.27404276529948,36.015849079579056
Multilevel Higher Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db1,0.2,16.27404276529948,36.015849079579056
Lower Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db8,0.02,13.975591023763021,36.677101777311705
Higher Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db8,0.02,0.5319391886393229,50.87218374339631
Multilevel Higher Band,lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db8,0.02,0.5319391886393229,50.87218374339631
